,v_acidity,chlorides,t_s_dioxide,density,alcohol,red,quality
3142,0.53,0.028999999999999998,86.0,0.993,9.1,0,4
3143,0.16,0.037000000000000005,104.0,0.9924,10.6,0,6
3144,0.14,0.038,99.0,0.9928,10.6,0,6
3145,0.12,0.049,152.0,0.9952,10.6,0,6
3146,0.29,0.034,156.0,0.9945,9.9,0,6
3147,0.3,0.034,158.0,0.9945,9.9,0,6
3148,0.36,0.025,102.0,0.9903,12.8,0,6
3149,0.18,0.051,157.0,0.9953,10.6,0,6
3151,0.19,0.122,129.0,0.9936,8.7,0,6
3152,0.21,0.038,152.0,0.9912,12.6,0,7
3153,0.3,0.057,156.0,0.9962,11.0,0,7
3154,0.42,0.055999999999999994,164.0,0.9965,11.2,0,7
3155,0.24,0.032,148.0,0.9932,10.7,0,7
3156,0.23,0.036000000000000004,182.0,0.9967,9.6,0,6
3157,0.43,0.045,115.0,0.9963,9.0,0,4
3158,0.35,0.036000000000000004,56.0,0.992,10.5,0,4
3159,0.3,0.033,156.0,0.991,12.8,0,6
3161,0.28,0.059000000000000004,112.0,0.9958,10.1,0,5
3163,0.34,0.027000000000000003,126.0,0.99,12.2,0,7
3164,0.19,0.044000000000000004,117.0,0.9938,10.1,0,6
3165,0.18,0.046,158.0,0.9996,9.2,0,5
3166,0.19,0.055,110.0,0.9946,9.9,0,5
3167,0.3,0.055,188.0,0.9974,9.7,0,6
3169,0.3,0.038,157.0,0.9945,9.9,0,5
3170,0.3,0.040999999999999995,159.0,0.9946,9.9,0,5
3171,0.22,0.063,168.0,0.9957,10.3,0,6
3172,0.26,0.045,116.0,0.9931,10.3,0,5
3173,0.17,0.048,108.0,0.9947,10.5,0,4
3174,0.17,0.053,182.0,0.9953,10.5,0,6
3175,0.27,0.05,74.0,0.9931,9.8,0,6
3176,0.64,0.05,128.0,0.9946,10.6,0,4
3177,0.18,0.046,168.0,0.9978,10.1,0,5
3179,0.31,0.062,191.0,0.9989,9.0,0,4
3180,0.31,0.046,119.0,1.0004,9.5,0,5
3181,0.3,0.039,84.0,0.9938,11.5,0,6
3182,0.24,0.039,108.0,0.9934,11.9,0,7
3183,0.25,0.045,209.0,0.9956,9.2,0,6
3185,0.3,0.039,165.0,0.9982,8.7,0,5
3187,0.31,0.042,147.0,0.9948,9.8,0,5
3188,0.27,0.036000000000000004,122.0,0.9926,11.2,0,6
3189,0.14,0.027999999999999997,165.0,0.991,12.3,0,6
3190,0.12,0.042,161.0,0.9945,10.4,0,6
3191,0.21,0.047,111.0,0.9916,10.7,0,6
3192,0.16,0.043,63.0,0.9953,10.5,0,6
3193,0.29,0.047,136.0,0.9938,9.4,0,6
3195,0.27,0.046,206.0,0.9956,9.2,0,6
3197,0.55,0.034,122.0,0.9906,11.9,0,5
3198,0.24,0.172,108.0,0.9932,9.9,0,6
3199,0.33,0.16699999999999998,94.0,0.9914,11.4,0,6
3200,0.34,0.046,223.0,0.996,10.7,0,6
3201,0.39,0.034,77.0,0.9906,12.7,0,5
3202,0.41,0.034,53.0,0.98815,13.5,0,7
3203,0.41,0.048,137.0,0.9942,9.5,0,5
3204,0.26,0.032,113.0,0.9903,12.9,0,9
3205,0.32,0.031,109.0,0.9906,12.5,0,6
3207,0.19,0.04,118.0,0.9935,9.5,0,7
3208,0.27,0.057,235.0,1.0024,8.6,0,5
3209,0.2,0.048,212.0,0.9968,10.0,0,7
3210,0.26,0.04,100.0,0.9941,10.1,0,6
3211,0.26,0.027000000000000003,87.0,0.9919,11.3,0,7
3213,0.14,0.035,120.0,0.9928,10.6,0,7
3214,0.29,0.035,131.0,0.9958,10.8,0,5
3215,0.19,0.047,140.0,0.9932,10.7,0,6
3216,0.34,0.045,206.0,0.9957,9.0,0,6
3217,0.2,0.065,143.0,0.9937,9.2,0,6
3218,0.37,0.045,243.0,0.9982,8.5,0,6
3219,0.22,0.028999999999999998,128.0,0.9928,11.3,0,8
3220,0.32,0.05,131.0,0.9956,9.4,0,5
3222,0.44,0.045,169.0,0.9957,8.7,0,6
3223,0.14,0.053,118.0,0.9954,9.4,0,6
3224,0.17,0.039,131.0,0.993,10.5,0,7
3225,0.26,0.037000000000000005,161.0,0.9954,9.7,0,6
3226,0.22,0.048,195.0,0.9987,10.2,0,6
3227,0.2,0.057,108.0,0.9928,11.5,0,6
3229,0.15,0.047,98.0,0.9951,9.6,0,6
3230,0.25,0.053,121.0,0.993,11.4,0,5
3231,0.28,0.040999999999999995,111.0,0.9926,12.2,0,8
3232,0.19,0.037000000000000005,110.0,0.9938,11.0,0,7
3233,0.25,0.048,228.0,1.0001,9.2,0,6
3234,0.14,0.035,126.0,0.9933,10.2,0,6
3235,0.49,0.043,149.0,0.9952,10.0,0,5
3237,0.12,0.042,160.0,0.9934,9.7,0,6
3238,0.47,0.239,220.0,0.9988,9.2,0,5
3239,0.22,0.042,105.0,0.993,10.5,0,5
3240,0.22,0.054000000000000006,151.0,0.9948,10.1,0,6
3242,0.19,0.057999999999999996,134.0,0.9998,9.1,0,7
3244,0.3,0.049,144.0,0.9971,10.2,0,7
3245,0.24,0.048,149.0,0.9962,10.5,0,7
3246,0.21,0.036000000000000004,99.0,0.99,12.1,0,7
3247,0.3,0.045,100.0,0.9942,10.2,0,5
3248,0.26,0.057999999999999996,166.0,0.9965,9.4,0,4
3249,0.31,0.044000000000000004,131.0,0.9912,12.8,0,7
3250,0.42,0.076,209.0,0.9978,9.0,0,6
3251,0.29,0.044000000000000004,118.0,0.9928,10.9,0,4
3252,0.33,0.053,176.0,1.0103,8.8,0,6
3254,0.46,0.052000000000000005,184.0,0.9956,9.0,0,5
3255,0.28,0.046,142.0,0.9936,10.2,0,5
3256,0.15,0.048,98.0,0.9929,9.2,0,5
3257,0.4,0.06,162.0,0.9966,11.3,0,6
3258,0.31,0.05,220.0,0.9964,8.8,0,5
3259,0.325,0.049,217.0,0.996,9.3,0,5
3260,0.27,0.049,217.0,0.9959,9.4,0,6
3261,0.26,0.047,191.0,0.9954,10.3,0,6
3262,0.21,0.047,114.0,0.9914,10.8,0,7
3263,0.28,0.059000000000000004,177.0,1.0004,9.0,0,4
3264,0.13,0.036000000000000004,114.0,0.9911,11.5,0,8
3265,0.445,0.04,84.0,0.9938,10.8,0,5
3266,0.39,0.055,128.0,0.9927,11.8,0,6
3267,0.18,0.033,72.0,0.9922,10.5,0,7
3268,0.31,0.036000000000000004,124.0,0.9924,9.9,0,6
3269,0.24,0.046,160.0,0.9963,9.8,0,6
3270,0.35,0.027999999999999997,87.0,0.9936,11.4,0,7
3272,0.26,0.138,168.0,0.9951,9.3,0,5
3273,0.27,0.13699999999999998,163.0,0.9951,9.3,0,5
3274,0.22,0.046,188.0,0.9955,10.3,0,6
3275,0.27,0.047,224.0,0.9961,8.9,0,5
3276,0.23,0.032,156.0,0.992,11.1,0,6
3277,0.3,0.045,170.0,0.9944,10.4,0,6
3278,0.35,0.034,117.0,0.9944,10.1,0,5
3279,0.32,0.054000000000000006,197.0,1.0008,9.0,0,5
3280,0.31,0.046,212.0,0.9962,11.9,0,6
3281,0.25,0.055,205.0,0.9986,9.0,0,7
3285,0.26,0.049,195.0,1.0,9.1,0,7
3287,0.26,0.047,147.0,0.9982,10.0,0,5
3288,0.25,0.040999999999999995,216.0,0.9949,9.4,0,3
3289,0.16,0.034,123.0,0.9915,11.4,0,6
3290,0.43,0.05,175.0,0.9951,9.7,0,4
3291,0.24,0.04,213.0,0.9927,11.8,0,6
3293,0.265,0.048,198.0,0.9955,10.2,0,5
3294,0.12,0.06,150.0,0.9952,9.2,0,6
3295,0.21,0.036000000000000004,132.0,0.9928,11.0,0,6
3296,0.32,0.040999999999999995,190.0,0.9982,10.0,0,6
3297,0.18,0.038,190.0,0.9914,12.2,0,6
3298,0.26,0.043,175.0,0.9918,11.6,0,6
3299,0.26,0.043,121.0,0.9944,10.2,0,6
3300,0.29,0.033,208.0,0.9969,10.3,0,5
3301,0.27,0.046,114.0,0.9955,8.6,0,4
3302,0.33,0.057999999999999996,151.0,0.9954,9.6,0,5
3303,0.31,0.057,148.0,0.9955,9.6,0,5
3304,0.25,0.035,127.0,0.9921,11.3,0,6
3305,0.24,0.038,157.0,0.9934,9.9,0,6
3306,0.26,0.055999999999999994,179.0,0.9998,9.6,0,5
3307,0.61,0.051,161.0,0.9946,10.6,0,4
3308,0.22,0.055,180.0,0.9984,9.8,0,5
3309,0.31,0.032,67.0,0.9924,10.5,0,5
3310,0.2,0.037000000000000005,120.0,0.9939,10.8,0,5
3311,0.18,0.061,178.0,0.995,10.0,0,6
3312,0.34,0.059000000000000004,136.0,0.9957,10.1,0,6
3313,0.3,0.12300000000000001,116.0,0.9953,9.4,0,5
3315,0.18,0.04,148.0,0.9912,11.5,0,8
3317,0.21,0.046,108.0,0.9939,10.8,0,6
3318,0.27,0.044000000000000004,142.0,0.9921,9.9,0,6
3319,0.2,0.05,178.0,0.9954,9.0,0,4
3320,0.23,0.043,69.0,0.9933,9.4,0,6
3321,0.2,0.044000000000000004,180.0,0.9941,10.8,0,7
3322,0.15,0.052000000000000005,190.0,0.995,10.9,0,7
3323,0.4,0.040999999999999995,148.0,0.9977,12.0,0,6
3324,0.13,0.055999999999999994,122.0,0.9945,10.5,0,6
3325,0.17,0.064,152.0,0.9952,9.3,0,6
3326,0.3,0.034,97.0,0.9924,11.8,0,6
3327,0.445,0.045,212.0,0.9986,10.0,0,6
3328,0.22,0.036000000000000004,138.0,0.9939,11.4,0,6
3329,0.23,0.031,99.0,0.9929,10.4,0,6
3330,0.34,0.055,198.0,0.9988,9.5,0,6
3331,0.545,0.031,111.0,0.9906,11.9,0,5
3332,0.3,0.040999999999999995,123.0,0.9914,11.1,0,6
3333,0.16,0.057,185.0,0.9978,9.6,0,6
3335,0.32,0.042,178.0,0.9928,12.0,0,6
3336,0.22,0.052000000000000005,104.0,0.9948,8.7,0,5
3337,0.15,0.054000000000000006,101.0,0.9946,10.0,0,5
3338,0.29,0.032,55.0,0.9908,11.4,0,4
3339,0.37,0.061,150.0,0.9954,9.6,0,6
3340,0.38,0.038,152.0,0.9906,12.9,0,6
3341,0.25,0.039,142.0,0.99705,9.7,0,6
3343,0.3,0.042,169.0,0.9982,9.3,0,6
3345,0.22,0.133,136.0,0.9932,9.1,0,5
3346,0.34,0.053,238.0,0.9977,8.6,0,5
3347,0.22,0.05,87.0,0.9940000000000001,9.9,0,5
3348,0.27,0.044000000000000004,102.0,0.9929,10.9,0,5
3349,0.17,0.055999999999999994,135.0,0.9924,10.2,0,6
3350,0.18,0.045,174.0,0.9966,9.7,0,6
3351,0.16,0.046,153.0,0.9921,11.4,0,7
3352,0.255,0.045,197.0,0.9967,9.5,0,6
3353,0.23,0.049,141.0,0.9934,10.2,0,7
3354,0.16,0.042,93.0,0.9914,11.1,0,6
3355,0.27,0.053,202.0,0.9961,9.3,0,5
3357,0.29,0.055999999999999994,215.0,0.9967,8.8,0,5
3359,0.21,0.038,53.0,0.9926,10.6,0,5
3360,0.62,0.046,224.0,0.99605,9.3,0,5
3361,0.28,0.042,181.0,0.99435,10.2,0,6
3362,0.3,0.044000000000000004,124.0,0.9948,10.2,0,6
3363,0.17,0.037000000000000005,98.0,0.9916,11.0,0,7
3364,0.21,0.037000000000000005,112.0,0.997,9.6,0,6
3365,0.32,0.054000000000000006,209.0,0.9961,8.8,0,5
3366,0.32,0.051,179.0,0.9955,8.9,0,5
3367,0.37,0.048,144.0,0.9922,10.0,0,5
3368,0.43,0.046,102.0,0.9918,12.2,0,7
3369,0.39,0.059000000000000004,181.0,0.9955,10.9,0,6
3371,0.18,0.040999999999999995,141.0,0.9941,9.5,0,6
3373,0.4,0.059000000000000004,178.0,0.9955,10.9,0,6
3374,0.19,0.054000000000000006,99.0,0.9924,10.8,0,6
3375,0.49,0.03,135.0,0.9973,12.0,0,6
3376,0.25,0.069,163.0,0.9990000000000001,9.8,0,5
3377,0.15,0.034,150.0,0.9922,11.0,0,8
3379,0.17,0.052000000000000005,150.0,0.9953,9.8,0,5
3380,0.32,0.051,200.0,0.9945,10.5,0,4
3381,0.21,0.034,142.0,0.9945,11.4,0,6
3383,0.45,0.067,100.0,0.9957,10.1,0,6
3384,0.24,0.038,127.0,0.9932,11.6,0,7
3385,0.33,0.04,115.0,0.9913,11.8,0,7
3386,0.26,0.033,158.0,0.9909,12.1,0,7
3387,0.36,0.035,122.0,0.9939,12.0,0,5
3388,0.2,0.026000000000000002,189.0,0.991,12.1,0,7
3389,0.16,0.042,176.0,0.9954,9.1,0,5
3390,0.33,0.054000000000000006,117.0,0.9943,9.3,0,5
3391,0.22,0.055999999999999994,153.0,0.993,10.4,0,6
3392,0.35,0.062,187.0,1.0002,9.1,0,5
3393,0.37,0.064,120.0,0.9946,9.4,0,5
3394,0.37,0.061,149.0,0.9953,9.6,0,6
3395,0.37,0.037000000000000005,126.0,0.9918,12.0,0,5
3396,0.25,0.039,128.0,0.9936,11.3,0,8
3397,0.23,0.073,173.0,0.9984,8.7,0,6
3399,0.26,0.04,162.0,0.9956,9.9,0,6
3401,0.3,0.049,191.0,0.9966,9.3,0,6
3403,0.16,0.042,67.0,0.9942,9.5,0,5
3404,0.33,0.065,119.0,0.9974,9.4,0,5
3406,0.38,0.046,116.0,0.9944,9.4,0,5
3408,0.2,0.053,184.0,1.0008,8.8,0,6
3410,0.36,0.049,184.0,0.9928,9.9,0,6
3411,0.46,0.042,72.0,0.9908,12.6,0,6
3412,0.15,0.038,110.0,0.9917,11.1,0,6
3413,0.42,0.03,100.0,0.9911,12.8,0,7
3415,0.3,0.038,164.0,0.9912,12.0,0,6
3417,0.27,0.028999999999999998,131.0,0.9953,12.0,0,7
3418,0.5,0.034,114.0,0.9932,9.2,0,4
3419,0.26,0.032,96.0,0.9896,12.3,0,6
3420,0.33,0.032,131.0,0.9889,13.0,0,6
3421,0.29,0.035,110.0,0.9926,10.9,0,5
3422,0.19,0.054000000000000006,231.0,0.9964,10.0,0,6
3424,0.32,0.033,165.0,0.9974,9.0,0,5
3426,0.32,0.034,84.0,0.9944,10.4,0,5
3427,0.17,0.051,240.0,0.9963,10.0,0,6
3428,0.44,0.031,167.0,0.9948,11.3,0,7
3431,0.49,0.03,153.0,0.9953,12.0,0,7
3433,0.21,0.044000000000000004,160.0,0.9949,10.6,0,6
3434,0.55,0.21100000000000002,213.0,0.9988,9.3,0,5
3435,0.19,0.12300000000000001,104.0,0.9954,9.4,0,6
3437,0.24,0.037000000000000005,102.0,0.992,11.0,0,7
3439,0.34,0.052000000000000005,247.0,0.9984,9.3,0,6
3440,0.18,0.054000000000000006,164.0,0.9926,10.5,0,5
3441,0.18,0.039,249.0,0.9976,9.5,0,6
3442,0.28,0.059000000000000004,139.0,0.9972,11.2,0,6
3443,0.34,0.028999999999999998,94.0,0.991,12.3,0,6
3445,0.44,0.049,157.0,0.998,9.0,0,5
3447,0.26,0.040999999999999995,180.0,0.9966,9.0,0,5
3448,0.49,0.052000000000000005,243.0,1.0007,9.0,0,5
3449,0.24,0.042,189.0,0.992,11.4,0,6
3450,0.25,0.046,181.0,0.9925,11.0,0,7
3451,0.18,0.049,127.0,0.9934,10.4,0,7
3452,0.27,0.057999999999999996,107.0,0.9955,10.3,0,5
3453,0.24,0.048,172.0,0.9944,10.5,0,7
3454,0.22,0.053,197.0,0.9981,9.8,0,6
3456,0.91,0.055999999999999994,181.0,0.9968,10.0,0,4
3457,0.34,0.055999999999999994,176.0,0.9946,9.7,0,5
3458,0.33,0.055999999999999994,171.0,0.9946,9.7,0,5
3459,0.18,0.046,161.0,0.9946,10.5,0,6
3460,0.2,0.054000000000000006,186.0,0.997,10.0,0,6
3461,0.13,0.054000000000000006,104.0,0.9924,11.5,0,7
3462,0.28,0.049,202.0,0.9958,9.5,0,5
3463,0.25,0.042,122.0,0.9940000000000001,10.5,0,6
3464,0.36,0.255,142.0,0.9958,10.2,0,6
3465,0.27,0.05,199.0,0.9984,9.8,0,6
3466,0.37,0.031,137.0,0.9948,11.6,0,6
3467,0.21,0.031,144.0,0.9932,11.8,0,7
3468,0.18,0.035,140.0,0.9952,10.1,0,7
3469,0.19,0.049,163.0,0.9924,10.3,0,6
3470,0.21,0.048,168.0,0.9945,10.4,0,6
3471,0.33,0.047,166.0,0.9976,8.9,0,5
3473,0.29,0.034,154.0,0.9938,10.8,0,5
3474,0.31,0.057999999999999996,165.0,0.9997,9.2,0,5
3475,0.19,0.053,140.0,0.9940000000000001,9.6,0,6
3476,0.2,0.032,78.0,0.9921,10.4,0,6
3477,0.25,0.043,248.0,0.9986,8.7,0,6
3478,0.2,0.043,103.0,0.9987,9.2,0,6
3481,0.3,0.045,213.0,0.9991,9.2,0,5
3485,0.22,0.028999999999999998,124.0,0.9948,10.2,0,5
3486,0.53,0.036000000000000004,107.0,0.993,9.0,0,5
3487,0.24,0.05,178.0,0.9988,9.7,0,5
3488,0.24,0.049,185.0,1.0,9.6,0,5
3489,0.15,0.036000000000000004,112.0,0.9932,10.0,0,5
3490,0.33,0.045,197.0,0.9989,9.1,0,5
3491,0.24,0.046,142.0,1.0,8.7,0,5
3493,0.35,0.055999999999999994,161.0,0.9952,9.5,0,5
3494,0.26,0.039,212.0,0.9969,9.5,0,6
3496,0.29,0.037000000000000005,166.0,0.9966,8.9,0,6
3499,0.31,0.053,89.0,0.9976,9.9,0,6
3500,0.44,0.03,104.0,0.99,12.6,0,7
3501,0.23,0.033,166.0,0.9988,9.7,0,6
3502,0.21,0.039,118.0,0.9942,10.4,0,5
3503,0.23,0.04,183.0,0.9984,9.1,0,6
3504,0.34,0.04,106.0,0.9932,10.4,0,5
3505,0.28,0.037000000000000005,120.0,0.9933,10.6,0,5
3506,0.37,0.028999999999999998,158.0,0.9916,12.0,0,7
3507,0.36,0.038,98.0,0.9914,12.5,0,7
3509,0.13,0.062,126.0,0.9966,9.6,0,5
3511,0.25,0.045,180.0,0.9958,9.2,0,5
3513,0.18,0.040999999999999995,71.0,0.9926,9.9,0,6
3515,0.3,0.036000000000000004,112.0,0.9939,11.7,0,6
3516,0.23,0.049,153.0,0.9953,9.6,0,6
3517,0.43,0.033,135.0,0.9906,12.0,0,6
3518,0.35,0.044000000000000004,177.0,0.9991,8.9,0,6
3519,0.22,0.049,189.0,0.9994,9.0,0,6
3520,0.26,0.052000000000000005,158.0,0.9976,10.2,0,7
3521,0.12,0.055,127.0,0.9953,9.4,0,5
3522,0.37,0.027999999999999997,59.0,0.9923,10.4,0,5
3523,0.26,0.032,106.0,0.993,10.4,0,4
3524,0.2,0.204,97.0,0.9931,10.0,0,6
3525,0.22,0.20800000000000002,96.0,0.9932,10.0,0,6
3526,0.25,0.052000000000000005,169.0,0.9926,10.5,0,5
3527,0.27,0.047,193.0,0.9938,11.4,0,6
3528,0.34,0.036000000000000004,172.0,0.9966,10.2,0,5
3530,0.27,0.043,228.0,0.9974,10.4,0,6
3532,0.49,0.047,307.5,0.9924,11.0,0,3
3533,0.71,0.042,93.0,0.9948,10.1,0,6
3534,0.47,0.083,182.0,0.9964,9.2,0,5
3535,0.28,0.04,87.0,0.9924,10.3,0,6
3536,0.13,0.08,172.0,0.9938,11.1,0,7
3537,0.16,0.031,84.0,0.9928,9.9,0,5
3538,0.31,0.052000000000000005,143.0,0.9959,9.0,0,5
3540,0.36,0.052000000000000005,256.0,1.0001,8.6,0,5
3542,0.25,0.040999999999999995,195.0,0.9968,9.5,0,5
3543,0.45,0.051,197.0,0.9932,9.0,0,5
3544,0.26,0.049,152.0,0.9954,10.0,0,6
3545,0.22,0.066,158.0,0.9992,9.0,0,6
3546,0.45,0.051,197.0,0.9932,9.0,0,5
3547,0.19,0.046,135.0,0.9939,10.2,0,7
3548,0.31,0.054000000000000006,160.0,0.9952,9.6,0,5
3549,0.25,0.036000000000000004,219.0,0.9996,9.7,0,5
3551,1.005,0.046,185.0,0.9966,10.2,0,4
3552,0.31,0.027999999999999997,142.0,0.9925,13.0,0,7
3553,0.24,0.044000000000000004,172.0,0.996,10.8,0,6
3554,0.29,0.063,169.0,0.9973,9.0,0,5
3555,0.15,0.027000000000000003,63.0,0.9937,9.9,0,5
3556,0.12,0.057999999999999996,89.0,0.9966,9.2,0,6
3557,0.32,0.055999999999999994,238.0,1.0017,8.7,0,6
3559,0.17,0.024,91.0,0.993,10.1,0,5
3561,0.21,0.039,123.0,0.9959,9.5,0,5
3562,0.21,0.040999999999999995,99.0,0.9958,9.9,0,5
3563,0.31,0.046,173.0,0.9958,9.0,0,5
3564,0.27,0.076,163.0,0.9979,8.6,0,6
3565,0.21,0.047,114.0,0.9941,10.5,0,6
3566,0.23,0.044000000000000004,186.0,0.997,9.5,0,7
3567,0.2,0.047,142.0,0.9934,10.1,0,6
3568,0.41,0.03,164.0,0.9927,11.7,0,7
3570,0.49,0.036000000000000004,116.0,0.9944,10.7,0,6
3571,0.2,0.086,133.0,0.9963,9.2,0,5
3572,0.26,0.084,139.0,1.0011,8.8,0,5
3574,0.27,0.048,197.0,0.9959,9.5,0,6
3575,0.28,0.057,208.0,0.9973,10.2,0,5
3576,0.2,0.048,143.0,0.9966,9.1,0,6
3577,0.33,0.044000000000000004,103.0,0.9932,10.5,0,6
3578,0.38,0.042,184.0,0.9984,9.0,0,6
3579,0.2,0.055999999999999994,212.5,0.9990000000000001,8.9,0,8
3585,0.19,0.049,181.0,1.0006,9.1,0,6
3586,0.16,0.047,151.0,0.9937,10.1,0,6
3587,0.22,0.043,176.0,0.9954,10.0,0,5
3588,0.22,0.043,201.0,0.997,9.5,0,6
3589,0.33,0.034,102.0,0.9912,12.3,0,7
3590,0.43,0.054000000000000006,110.0,0.9939,9.1,0,4
3591,0.12,0.057,103.0,0.9957,9.6,0,5
3592,0.3,0.053,180.0,0.9926,11.6,0,6
3594,0.28,0.043,168.0,0.9994,8.8,0,6
3597,0.2,0.055,170.0,1.0004,8.9,0,6
3601,0.18,0.055,197.0,1.0002,9.0,0,6
3602,0.31,0.04,145.0,0.9922,10.0,0,5
3603,0.31,0.038,147.0,0.9922,10.0,0,5
3604,0.17,0.047,154.0,0.9934,11.1,0,6
3605,0.26,0.043,178.0,0.9941,10.6,0,6
3606,0.18,0.038,84.0,0.9924,10.1,0,6
3607,0.15,0.043,159.0,0.9948,10.0,0,5
3609,0.4,0.034,98.0,0.9935,12.2,0,7
3610,0.25,0.035,95.0,0.9918,11.0,0,6
3611,0.18,0.064,160.0,0.9924,11.1,0,5
3612,0.32,0.046,133.0,0.9979,10.4,0,6
3614,0.55,0.026000000000000002,71.0,0.993,11.8,0,5
3616,0.19,0.027999999999999997,84.0,0.9940000000000001,10.8,0,6
3617,0.41,0.023,110.0,0.991,12.5,0,7
3618,0.2,0.049,136.0,0.9922,11.6,0,7
3619,0.26,0.05,163.0,0.9937,11.5,0,6
3620,0.21,0.051,142.0,0.9928,10.1,0,6
3622,0.34,0.04,215.0,0.9965,9.2,0,6
3624,0.43,0.168,190.0,0.9991,9.2,0,5
3625,0.3,0.16,149.0,0.9948,8.9,0,5
3626,0.26,0.179,60.0,0.9925,10.1,0,5
3627,0.32,0.046,180.0,0.9958,8.9,0,5
3628,0.21,0.037000000000000005,150.0,0.9962,9.7,0,6
3629,0.42,0.034,145.0,0.9951,11.0,0,6
3630,0.29,0.042,160.0,0.9944,10.7,0,5
3632,0.25,0.024,101.0,0.9916,10.8,0,6
3633,0.23,0.049,183.0,0.9987,9.8,0,5
3634,0.35,0.038,124.0,0.9928,11.0,0,5
3635,0.2,0.018000000000000002,72.0,0.9926,10.4,0,5
3636,0.27,0.046,155.0,0.9934,10.2,0,6
3637,0.14,0.028999999999999998,104.0,0.9949,9.0,0,5
3639,0.24,0.042,71.0,0.9926,10.6,0,5
3641,0.3,0.032,212.0,0.997,9.5,0,6
3642,0.13,0.027999999999999997,104.0,0.9948,9.2,0,6
3643,0.18,0.03,107.0,0.992,11.0,0,6
3644,0.385,0.034,115.0,0.9964,9.9,0,6
3645,0.33,0.046,126.0,0.9982,9.3,0,5
3646,0.34,0.052000000000000005,156.0,0.9955,9.6,0,5
3647,0.33,0.05,155.0,0.9955,9.5,0,5
3648,0.28,0.031,172.0,0.9958,9.7,0,7
3649,0.23,0.034,123.0,0.9997,9.7,0,3
3650,0.21,0.042,146.0,1.0001,8.7,0,5
3653,0.485,0.026000000000000002,101.0,0.9918,12.4,0,5
3655,0.29,0.028999999999999998,155.0,0.9931,10.6,0,6
3656,0.31,0.031,151.0,0.9926,12.0,0,7
3657,0.29,0.044000000000000004,227.0,0.9966,9.0,0,5
3658,0.46,0.04,169.0,0.9932,8.8,0,5
3659,0.28,0.04,223.0,0.9969,9.5,0,5
3660,0.23,0.036000000000000004,96.0,0.9925,10.8,0,6
3661,0.17,0.047,132.0,0.9914,11.4,0,5
3662,0.18,0.049,123.0,0.996,10.3,0,5
3664,0.22,0.042,180.0,0.9952,9.5,0,6
3666,0.27,0.05,127.0,0.9934,9.9,0,5
3667,0.28,0.051,142.0,0.9939,10.2,0,5
3668,0.29,0.051,146.0,0.9939,10.2,0,5
3669,0.32,0.028999999999999998,104.0,0.9906,11.0,0,6
3670,0.33,0.03,126.0,0.9901,12.1,0,7
3671,0.34,0.057,173.0,0.9948,9.1,0,6
3672,0.19,0.04,140.0,0.995,9.5,0,6
3673,0.23,0.043,164.0,0.9953,9.5,0,5
3674,0.27,0.045,189.0,0.9953,9.8,0,5
3675,0.36,0.039,124.0,0.9948,9.6,0,5
3677,0.22,0.055,198.0,0.9951,10.2,0,6
3678,0.17,0.042,119.0,0.9931,10.5,0,6
3679,0.45,0.044000000000000004,117.0,0.9962,10.4,0,4
3680,0.42,0.046,95.0,0.9959,10.7,0,5
3681,0.33,0.036000000000000004,119.0,0.9962,10.5,0,6
3682,0.3,0.028999999999999998,111.0,0.9958,10.6,0,5
3683,0.17,0.053,150.0,0.9948,9.6,0,6
3686,0.17,0.05,101.0,0.9940000000000001,9.5,0,5
3687,0.17,0.049,153.0,0.9942,9.4,0,6
3688,0.15,0.046,130.0,0.9942,9.8,0,6
3689,0.25,0.044000000000000004,172.0,0.9964,9.2,0,5
3690,0.24,0.045,176.0,0.9958,9.5,0,5
3691,0.76,0.043,93.0,0.9932,9.2,0,5
3692,0.22,0.052000000000000005,136.0,0.9986,9.4,0,5
3694,0.28,0.048,146.0,0.9988,9.3,0,5
3695,0.32,0.05,129.0,0.9953,9.1,0,5
3697,0.24,0.046,145.0,0.9983,9.5,0,5
3699,0.18,0.055999999999999994,163.0,1.0,9.1,0,6
3701,0.16,0.043,153.0,0.9951,10.6,0,5
3703,0.28,0.042,85.0,0.9906,12.4,0,6
3704,0.34,0.047,237.0,0.9981,8.7,0,5
3705,0.27,0.055999999999999994,128.0,0.9936,8.8,0,5
3706,0.24,0.057,234.0,1.0005,9.0,0,5
3707,0.24,0.048,141.0,0.9972,10.3,0,6
3708,0.23,0.038,186.0,0.9969,9.5,0,6
3710,0.22,0.05,138.0,1.0001,8.8,0,5
3714,0.33,0.05,93.0,0.9934,9.9,0,5
3715,0.2,0.034,68.0,0.9902,11.7,0,4
3716,0.26,0.04,117.0,0.993,10.8,0,5
3717,0.2,0.040999999999999995,126.0,0.9914,12.0,0,6
3718,0.16,0.033,122.0,0.9941,10.3,0,4
3719,0.25,0.076,154.0,0.9967,9.0,0,5
3721,0.39,0.035,109.0,0.9918,12.2,0,7
3723,0.26,0.051,173.0,0.998,9.9,0,5
3724,0.28,0.048,163.0,0.9957,10.1,0,5
3725,0.43,0.055999999999999994,174.0,0.9986,9.3,0,5
3726,0.33,0.062,344.0,0.9958,9.5,0,5
3727,0.5,0.054000000000000006,146.0,0.9948,9.2,0,6
3728,0.28,0.036000000000000004,115.0,0.9918,11.7,0,5
3729,0.35,0.04,144.0,0.9923,11.0,0,5
